order_item_id,order_id,product_id,quantity,unit_price
1,9131,5541,1,49.0
2,7191,5440,1,289.0
3,1145,3293,1,16.5
4,8611,3311,1,21.9
5,5826,1407,1,79.5
6,1518,2626,1,14.95
7,5770,3766,1,104.0
8,121,3176,1,168.8
9,2055,2524,1,7.79
10,657,6153,1,49.9
11,4750,5316,1,72.99
12,9072,4360,1,92.0
13,9072,4360,1,92.0
14,7713,4943,1,89.0
15,8612,5439,1,189.9
16,9785,3948,1,49.9
17,9532,203,1,35.9
18,8306,1893,1,90.0
19,4833,5080,1,249.0
20,9059,6393,1,49.9
21,2637,3952,1,53.99
22,3243,4401,1,35.9
23,5660,56,1,39.0
24,6384,487,1,99.9
25,4540,3965,1,65.0
26,9485,124,1,50.0
27,4184,1077,1,69.9
28,898,5835,1,39.9
29,1410,3558,1,106.9
30,5797,3884,1,362.45
31,9145,1971,1,64.9
32,9145,1971,1,64.9
33,3579,3164,1,128.9
34,9185,3191,1,49.9
35,5023,4965,1,44.9
36,5023,4965,1,44.9
37,1785,3517,1,94.99
38,8717,6518,1,49.9
39,6881,822,1,71.0
40,7066,5263,1,199.0
41,7893,5868,1,7.9
42,6197,869,1,299.0
43,8039,2050,1,139.9
44,4660,1512,1,27.99
45,6733,1503,1,59.9
46,6733,2436,1,62.0
47,8627,6030,1,27.9
48,6246,5063,1,279.99
49,3939,5251,1,9.0
50,3630,4287,1,29.99
51,1592,559,1,97.9
52,7968,2523,1,15.32
53,1878,703,1,159.0
54,5281,48,1,99.99
55,1477,3248,1,27.9
56,1477,4281,1,21.33
57,7248,4103,1,29.0
58,7942,5952,1,219.9
59,8285,718,1,211.05
60,8840,4627,1,16.0
61,2214,5999,1,230.0
62,1139,305,1,129.99
63,8454,1568,1,129.9
64,1177,3076,1,19.0
65,8152,873,1,43.9
66,2684,41,1,56.99
67,6603,1132,1,75.0
68,206,5750,1,89.0
69,6085,5211,1,42.9
70,2771,1925,1,51.0
71,6927,4276,1,579.0
72,6927,4276,1,579.0
73,6927,4276,1,579.0
74,5600,1421,1,12.88
75,4417,1797,1,84.99
76,8599,981,1,465.0
77,2792,1467,1,109.99
78,5869,673,1,79.9
79,4651,3163,1,46.55
80,5420,950,1,15.9
81,5323,6007,1,59.99
82,1982,5240,1,78.9
83,1979,1076,1,51.4
84,3909,2138,1,59.9
85,4063,4117,1,106.0
86,4335,2276,1,329.0
87,6906,4027,1,59.9
88,9789,6010,1,40.75
89,5802,6317,1,69.49
90,2479,2880,1,110.0
91,5337,6382,1,89.99
92,6811,5432,1,29.99
93,6811,5432,1,29.99
94,4928,3246,1,325.0
95,5198,5691,1,54.89
96,5208,5529,1,12.77
97,9158,1929,1,230.0
98,954,6147,1,104.9
99,2381,6630,1,25.99
100,2781,2207,1,176.99
101,5364,5931,1,205.0
102,8905,2355,1,174.9
103,3473,1861,1,29.9
104,3161,3690,1,29.0
105,8096,2937,1,292.9
106,9176,4749,1,79.0
107,7364,234,1,329.9
108,221,5944,1,49.0
109,912,3465,1,130.0
110,720,3202,1,180.0
111,7823,5684,1,179.99
112,1933,6019,1,117.3
113,4891,5382,1,128.25
114,3304,3805,1,349.9
115,8389,602,1,37.9
116,6694,1736,1,39.9
117,5952,6359,1,179.9
118,3577,4405,1,87.0
119,6591,2107,1,199.0
120,3152,4957,1,102.5
121,79,5546,1,98.0
122,1618,3343,1,67.9
123,291,1451,1,55.0
124,8089,3860,1,89.8
125,8089,4514,1,89.99
126,4236,2243,1,23.8
127,4236,2243,1,23.8
128,1651,6216,1,69.99
129,5988,1719,1,109.0
130,220,3690,1,29.0
